Date,Team,Opponent,Team Score,Opponent Score
11/14/2014,Liberty,Randolph Col,69,45
11/14/2014,Valparaiso,ETSU,90,76
11/14/2014,Texas Tech,Loyola MD,71,59
11/14/2014,Kansas St,Southern Utah,98,68
11/14/2014,Loyola-Chicago,Rockhurst,71,58
11/14/2014,NC A&T,Greensboro,91,61
11/14/2014,Norfolk St,Pfeiffer,81,43
11/14/2014,Missouri St,E Illinois,64,53
11/14/2014,Alabama St,Auburn M'gomery,105,64
11/14/2014,Michigan St,Navy,64,59
11/14/2014,Louisiana Tech,Southern Univ,85,76
11/14/2014,Missouri KC,Missouri,69,61
11/14/2014,Incarnate Word,UT Tyler,89,49
11/14/2014,Illinois,Ga Southern,80,71
11/14/2014,Wisconsin,N Kentucky,62,31
11/14/2014,Notre Dame,Binghamton,82,39
11/14/2014,Loy Marymount,SE Missouri St,76,66
11/14/2014,Lipscomb,Berry,91,70
11/14/2014,Creighton,Cent Arkansas,104,77
11/14/2014,Col Charleston,Furman,75,40
11/14/2014,UT San Antonio,Huston-Tillot,92,74
11/14/2014,TX Pan American,Wayland,88,80
11/14/2014,Colorado,Drexel,65,48
11/14/2014,Arizona,Mt St Mary's,78,55
11/14/2014,Kentucky,Grand Canyon,85,45
11/14/2014,North Carolina,NC Central,76,60
11/14/2014,Akron,UMBC,74,57
11/14/2014,Stetson,Edward Waters,75,61
11/14/2014,Hofstra,Jacksonville,94,61
11/14/2014,Georgia St,TN Temple,115,55
11/14/2014,TAM C. Christi,Our Lady Lake,73,58
11/14/2014,SF Austin,Mississippi Col,75,49
11/14/2014,Tennessee St,Reinhardt,97,66
11/14/2014,Edwardsville,Harris-Stowe,104,56
11/14/2014,Abilene Chr,Hillsdale Bap,101,61
11/14/2014,ULL,Louisiana Col,85,57
11/14/2014,Troy,Brewton-Parker,85,71
11/14/2014,Texas A&M,Northwestern LA,109,68
11/14/2014,Northwestern,Houston Bap,65,58
11/14/2014,Alabama,Towson,82,54
11/14/2014,St Mary's CA,Cal St-LA,77,67
11/14/2014,Auburn,WI Milwaukee,83,73
11/14/2014,Stanford,Wofford,74,59
11/14/2014,UCLA,Montana St,113,78
11/14/2014,UC Irvine,Chapman,87,36
11/14/2014,San Diego St,CS Northridge,79,58
11/14/2014,UNLV,Morehead St,60,59
11/14/2014,Santa Clara,CS Fullerton,89,72
11/14/2014,Washington,S Carolina St,77,59
11/14/2014,Oregon,Coppin St,107,65
11/14/2014,Sacred Heart,Hartford,71,53
11/14/2014,Villanova,Lehigh,77,66
11/14/2014,Tennessee Tech,Piedmont Bap,83,29
11/14/2014,High Point,CS Bakersfield,100,99
11/14/2014,San Jose St,Bethesda,67,44
11/14/2014,Boise St,San Diego,81,75
11/14/2014,Hawaii,Ark Pine Bluff,85,57
11/14/2014,Fordham,NYIT,94,77
11/14/2014,Louisville,Minnesota,81,68
11/14/2014,UTEP,Washington St,65,52
11/14/2014,SMU,Lamar,93,54
11/14/2014,Baylor,McNeese St,80,39
11/14/2014,Iowa,Hampton,90,56
11/14/2014,Marquette,TN Martin,79,63
11/14/2014,Utah Valley,South Dakota,60,52
11/14/2014,Gonzaga,CS Sacramento,104,58
11/14/2014,Utah St,Weber St,72,61
11/14/2014,N Colorado,Black Hills St,83,62
11/14/2014,E Washington,TX Southern,86,62
11/14/2014,Idaho,Eastern Oregon,77,65
11/14/2014,Texas St,Seattle,62,53
11/14/2014,Arizona St,Chicago St,86,50
11/14/2014,Oregon St,Rice,67,54
11/14/2014,California,Alcorn St,91,57
11/14/2014,DePaul,IL Chicago,72,71
11/14/2014,Portland,Concordia OR,87,59
11/14/2014,New Mexico,Idaho St,79,55
11/14/2014,Utah,Ball St,90,72
11/14/2014,Pepperdine,Fresno St,89,74
11/14/2014,South Florida,Flagler,75,61
11/14/2014,East Carolina,NC Wesleyan,99,81
11/14/2014,IPFW,Manchester,74,50
11/14/2014,Connecticut,Bryant,66,53
11/14/2014,Massachusetts,Siena,95,87
11/14/2014,Iona,Cleveland St,78,73
11/14/2014,Bucknell,Marist,75,72
11/14/2014,Princeton,Rider,64,58
11/14/2014,Pittsburgh,Niagara,78,45
11/14/2014,Lafayette,Robert Morris,77,50
11/14/2014,Wake Forest,UNC Asheville,80,69
11/14/2014,Virginia,James Madison,79,51
11/14/2014,NC State,Jackson St,93,58
11/14/2014,Miami FL,Howard,84,49
11/14/2014,Georgia Tech,Georgia,80,73
11/14/2014,Virginia Tech,MD E Shore,71,46
11/14/2014,C Michigan,Alma,106,64
11/14/2014,Clemson,Florida A&M,86,41
11/14/2014,Boston College,New Hampshire,58,50
11/14/2014,Xavier,Northern Arizona,93,60
11/14/2014,South Alabama,Carroll MT,83,64
11/14/2014,Southern Miss,Wm Carey,86,63
11/14/2014,E Michigan,St Francis IL,64,52
11/14/2014,Sam Houston St,Austin Col,100,52
11/14/2014,MTSU,Ohio Valley,77,60
11/14/2014,Army,Air Force,84,78
11/14/2014,Wichita St,New Mexico St,71,54
11/14/2014,Florida Intl,Florida Col,64,42
11/14/2014,Dayton,Alabama A&M,76,52
11/14/2014,VMI,Citadel,66,65
11/14/2014,Mississippi St,W Carolina,66,56
11/14/2014,Florida,William & Mary,68,45
11/14/2014,West Virginia,Monmouth NJ,64,54
11/14/2014,VA Commonwealth,Tennessee,85,69
11/14/2014,North Texas,Ark Monticello,84,62
11/14/2014,Quinnipiac,Yale,88,85
11/14/2014,Fairfield,Central Conn,71,63
11/14/2014,Duke,Presbyterian,113,44
11/14/2014,Chattanooga,Hiwassee,110,53
11/14/2014,St John's,NJIT,77,58
11/14/2014,Maryland,Wagner,82,48
11/14/2014,Elon,FL Atlantic,64,58
11/14/2014,Kansas,Santa Barbara,69,59
11/14/2014,Iowa St,Oakland,93,82
11/14/2014,Coastal Car,Trinity Bap,79,36
11/14/2014,Buffalo,S Dakota St,69,67
11/14/2014,Temple,American Univ,40,37
11/14/2014,Campbell,Barber-Scotia,97,58
11/14/2014,Richmond,Radford,64,46
11/14/2014,Oklahoma St,SE Louisiana,83,55
11/14/2014,Cincinnati,St Francis PA,52,37
11/14/2014,Houston,Murray St,77,74
11/14/2014,BYU,Long Beach St,95,90
11/14/2014,Pacific,W Illinois,73,71
11/14/2014,Indiana St,IUPUI,79,66
11/14/2014,Texas,N Dakota St,85,50
11/14/2014,TCU,Prairie View,71,54
11/14/2014,UT Arlington,Bradley,86,75
11/14/2014,Brown,St Peter's,70,58
11/14/2014,Detroit,Rochester MI,77,54
11/14/2014,Longwood,Averett,79,53
11/14/2014,Charleston So,Mississippi,66,65
11/14/2014,Cornell,George Mason,68,60
11/14/2014,G Washington,Grambling,92,40
11/14/2014,Purdue,Samford,80,40
11/14/2014,Syracuse,Kennesaw,89,42
11/14/2014,South Carolina,North Florida,81,56
11/14/2014,UNC Greensboro,Chowan,76,62
11/14/2014,Mercer,Piedmont,88,48
11/14/2014,Rhode Island,Pace,94,54
